Site_Name,Cluster_ID,Cluster_Location,Cluster_Location_Time,Cluster_State,Lat,Long,Elevation_mabsl,Site_Comments,Sample_ID,Start_Time_Zone,Collection_Time_Zone,Collection_Date,Year,Season,Month,Sample_Comments,d2H,d18O,d2H_Analytical_SD,d18O_Analytical_SD,WI_Analysis_Source,Project_ID,Modality
Taylorsville,NC,NC,NC,NC,40.65449,-111.92435,1302,,50,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.74,-16.12,,,Tipple,Tipple,NC
Taylorsville,NC,NC,NC,NC,40.65876,-111.98607,1376,,52,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-123.29,-15.87,,,Tipple,Tipple,NC
Murray,NC,NC,NC,NC,40.66009,-111.88734,1314,,49,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-119.18,-15.57,,,Tipple,Tipple,NC
Taylorsville,NC,NC,NC,NC,40.66787,-111.93943,1313,,51,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-123.45,-16.26,,,Tipple,Tipple,NC
Magna,NC,NC,NC,NC,40.69568,-112.09278,1348,,55,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-93.47,-11.03,,,Tipple,Tipple,NC
West Valley City,NC,NC,NC,NC,40.69608,-111.98611,1304,,53,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.41,-16.05,,,Tipple,Tipple,NC
West Valley City,NC,NC,NC,NC,40.69634,-112.04391,1319,,54,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-120.4,-15.91,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.70071,-111.80205,1466,,35,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-125.1,-16.57,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.73359,-111.85345,1351,,34,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-124.94,-16.48,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.73373,-111.9382,1293,,56,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.9,-16.18,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.75232,-111.85438,1377,,33,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-124.21,-16.42,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.75994,-111.93819,1291,,57,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-123.08,-16.25,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.76099,-111.93216,1289,,58,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.98,-15.95,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.79053,-111.93658,1287,,59,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.23,-16.39,,,Tipple,Tipple,NC
Draper,NC,NC,NC,NC,40.48532,-111.88387,1475,,86,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-123,-15.96,,,Tipple,Tipple,NC
Bluffdale,NC,NC,NC,NC,40.48933,-111.94077,1358,,87,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.97,-15.91,,,Tipple,Tipple,NC
Bluffdale,NC,NC,NC,NC,40.49048,-111.95137,1371,,66,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.11,-16.09,,,Tipple,Tipple,NC
Draper,NC,NC,NC,NC,40.49086,-111.87235,1455,,65,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-120.32,-16.28,,,Tipple,Tipple,NC
Draper,NC,NC,NC,NC,40.52439,-111.85413,1383,,64,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-119.71,-16.22,,,Tipple,Tipple,NC
Sandy,NC,NC,NC,NC,40.54467,-111.84183,1457,,63,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.23,-16.06,,,Tipple,Tipple,NC
South Jordan,NC,NC,NC,NC,40.54474,-111.93937,1357,,84,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.67,-16,,,Tipple,Tipple,NC
South Jordan,NC,NC,NC,NC,40.54474,-111.93937,1357,,85,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.86,-15.93,,,Tipple,Tipple,NC
South Jordan,NC,NC,NC,NC,40.56427,-111.98666,1435,,67,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.25,-15.89,,,Tipple,Tipple,NC
West Jordan,NC,NC,NC,NC,40.6056,-111.9427,1339,,83,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.83,-15.89,,,Tipple,Tipple,NC
West Jordan,NC,NC,NC,NC,40.60892,-111.98609,1396,,68,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.06,-15.97,,,Tipple,Tipple,NC
Midvale,NC,NC,NC,NC,40.61028,-111.91077,1328,,82,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-119.97,-16.09,,,Tipple,Tipple,NC
Midvale,NC,NC,NC,NC,40.61859,-111.87392,1351,,69,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-120.49,-16.36,,,Tipple,Tipple,NC
Cottonwood Heights,NC,NC,NC,NC,40.61903,-111.78969,1499,,62,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.5,-15.82,,,Tipple,Tipple,NC
Taylorsville,NC,NC,NC,NC,40.65449,-111.92435,1302,,71,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.13,-15.88,,,Tipple,Tipple,NC
Taylorsville,NC,NC,NC,NC,40.65876,-111.98607,1376,,73,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-123.42,-15.88,,,Tipple,Tipple,NC
Murray,NC,NC,NC,NC,40.66009,-111.88734,1314,,70,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.73,-16.12,,,Tipple,Tipple,NC
West Valley City,NC,NC,NC,NC,40.66685,-111.94048,1312,,81,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-124.23,-16.93,,,Tipple,Tipple,NC
Taylorsville,NC,NC,NC,NC,40.66787,-111.93943,1313,,72,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-125.49,-16.9,,,Tipple,Tipple,NC
Magna,NC,NC,NC,NC,40.69568,-112.09278,1348,,76,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-106.78,-13.28,,,Tipple,Tipple,NC
West Valley City,NC,NC,NC,NC,40.69608,-111.98611,1304,,74,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.16,-16.05,,,Tipple,Tipple,NC
West Valley City,NC,NC,NC,NC,40.69634,-112.04391,1319,,75,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-124.74,-16.25,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.70071,-111.80205,1466,,61,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-120.84,-15.86,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.7249,-111.85432,1347,,88,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-119.72,-16.06,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.73373,-111.9382,1293,,77,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-120.79,-16.23,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.75232,-111.85438,1377,,60,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-118.98,-16.12,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.75994,-111.93819,1291,,78,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-120.86,-16.37,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.76099,-111.93216,1289,,79,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.13,-16.2,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.79053,-111.93658,1287,,80,,,23-10-12,2012,fall,october,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.39,-16.47,,,Tipple,Tipple,NC
Draper,NC,NC,NC,NC,40.48532,-111.88387,1475,,104,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.45,-16.13,,,Tipple,Tipple,NC
Bluffdale,NC,NC,NC,NC,40.48933,-111.94077,1358,,105,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.95,-16.09,,,Tipple,Tipple,NC
Draper,NC,NC,NC,NC,40.50677,-111.84499,1428,,110,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.63,-16.46,,,Tipple,Tipple,NC
Draper,NC,NC,NC,NC,40.52439,-111.85413,1383,,92,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-118.24,-16.39,,,Tipple,Tipple,NC
South Jordan,NC,NC,NC,NC,40.54474,-111.93937,1357,,103,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.45,-16.24,,,Tipple,Tipple,NC
Sandy,NC,NC,NC,NC,40.55982,-111.854,1426,,111,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-123.16,-16.05,,,Tipple,Tipple,NC
South Jordan,NC,NC,NC,NC,40.56183,-111.9866,1435,,109,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-123.25,-16.11,,,Tipple,Tipple,NC
West Jordan,NC,NC,NC,NC,40.6056,-111.9427,1339,,102,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.77,-16.33,,,Tipple,Tipple,NC
West Jordan,NC,NC,NC,NC,40.60892,-111.98609,1396,,93,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.93,-16.08,,,Tipple,Tipple,NC
Midvale,NC,NC,NC,NC,40.61028,-111.91077,1328,,101,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-120.16,-16.21,,,Tipple,Tipple,NC
Cottonwood Heights,NC,NC,NC,NC,40.61903,-111.78969,1499,,91,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.98,-16.16,,,Tipple,Tipple,NC
Midvale,NC,NC,NC,NC,40.62033,-111.87249,1354,,112,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.49,-16.2,,,Tipple,Tipple,NC
Taylorsville,NC,NC,NC,NC,40.65266,-111.93941,1324,,114,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.84,-16.26,,,Tipple,Tipple,NC
Kearns,NC,NC,NC,NC,40.65352,-111.98597,1389,,108,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.25,-16.19,,,Tipple,Tipple,NC
Murray,NC,NC,NC,NC,40.65838,-111.88741,1311,,113,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.69,-16.41,,,Tipple,Tipple,NC
West Valley City,NC,NC,NC,NC,40.66685,-111.94048,1312,,100,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.88,-16.28,,,Tipple,Tipple,NC
Magna,NC,NC,NC,NC,40.69568,-112.09278,1348,,96,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-108.73,-13.94,,,Tipple,Tipple,NC
West Valley City,NC,NC,NC,NC,40.69608,-111.98611,1304,,94,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-120.65,-16.3,,,Tipple,Tipple,NC
West Valley City,NC,NC,NC,NC,40.69634,-112.04391,1319,,95,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-120.29,-16.42,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.70071,-111.80205,1466,,90,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-119.91,-15.94,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.7249,-111.85432,1347,,106,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-123.66,-16.33,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.73373,-111.9382,1293,,97,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.03,-16.31,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.73982,-111.8259,1440,,107,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.4,-16.12,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.75232,-111.85438,1377,,89,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.44,-16.09,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.75994,-111.93819,1291,,98,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-123.59,-16.31,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.76104,-111.92722,1290,,115,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-123.11,-16.13,,,Tipple,Tipple,NC
Salt Lake City,NC,NC,NC,NC,40.79053,-111.93658,1287,,99,,,17-01-13,2013,winter,january,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-123.99,-16.41,,,Tipple,Tipple,NC
Draper,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.48532,-111.88387,1475,,146,,,23-04-13,2013,spring,april,,-121.53,-16.31,,,Tipple,Tipple,multi
Draper,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.48665,-111.92691,1341,,121,,,23-04-13,2013,spring,april,,-123.3,-16.29,,,Tipple,Tipple,multi
Bluffdale,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.48933,-111.94077,1358,,147,,,23-04-13,2013,spring,april,,-121.45,-16.28,,,Tipple,Tipple,multi
Bluffdale,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.49048,-111.95137,1371,,122,,,23-04-13,2013,spring,april,,-122.36,-16.23,,,Tipple,Tipple,multi
Draper,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.50677,-111.84499,1428,,152,,,23-04-13,2013,spring,april,,-119.59,-16.28,,,Tipple,Tipple,multi
Riverton,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.51699,-111.96032,1381,,123,,,23-04-13,2013,spring,april,,-115.04,-14.66,,,Tipple,Tipple,multi
Draper,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.52439,-111.85413,1383,,120,,,23-04-13,2013,spring,april,,-120.87,-16.17,,,Tipple,Tipple,multi
Sandy,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.54467,-111.84183,1457,,119,,,23-04-13,2013,spring,april,,-122.38,-16.33,,,Tipple,Tipple,multi
South Jordan,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.54474,-111.93937,1357,,145,,,23-04-13,2013,spring,april,,-123.27,-15.9,,,Tipple,Tipple,multi
South Jordan,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.55154,-111.94126,1359,,124,,,23-04-13,2013,spring,april,,-123.35,-16.12,,,Tipple,Tipple,multi
Sandy,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.55982,-111.854,1426,,153,,,23-04-13,2013,spring,april,,-121.22,-16.28,,,Tipple,Tipple,multi
South Jordan,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.56183,-111.9866,1435,,151,,,23-04-13,2013,spring,april,,-120.45,-16.2,,,Tipple,Tipple,multi
South Jordan,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.56427,-111.98666,1435,,125,,,23-04-13,2013,spring,april,,-121.68,-16.36,,,Tipple,Tipple,multi
West Jordan,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.6056,-111.9427,1339,,144,,,23-04-13,2013,spring,april,,-122.85,-16.15,,,Tipple,Tipple,multi
West Jordan,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.60802,-111.94479,1342,,127,,,23-04-13,2013,spring,april,,-122.56,-16.2,,,Tipple,Tipple,multi
West Jordan,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.60892,-111.98609,1396,,126,,,23-04-13,2013,spring,april,,-124.33,-16.21,,,Tipple,Tipple,multi
Midvale,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.61028,-111.91077,1328,,143,,,23-04-13,2013,spring,april,,-120.46,-16.16,,,Tipple,Tipple,multi
Midvale,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.61374,-111.90334,1335,,128,,,23-04-13,2013,spring,april,,-120.59,-16.04,,,Tipple,Tipple,multi
Midvale,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.61859,-111.87392,1351,,129,,,23-04-13,2013,spring,april,,-123.33,-16.17,,,Tipple,Tipple,multi
Cottonwood Heights,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.61903,-111.78969,1499,,118,,,23-04-13,2013,spring,april,,-122.44,-16.47,,,Tipple,Tipple,multi
Midvale,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.62033,-111.87249,1354,,154,,,23-04-13,2013,spring,april,,-121.46,-16.2,,,Tipple,Tipple,multi
Taylorsville,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.65266,-111.93941,1324,,156,,,23-04-13,2013,spring,april,,-122.97,-16.88,,,Tipple,Tipple,multi
Kearns,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.65352,-111.98597,1389,,150,,,23-04-13,2013,spring,april,,-121.8,-16.26,,,Tipple,Tipple,multi
Taylorsville,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.65449,-111.92435,1302,,131,,,23-04-13,2013,spring,april,,-124.42,-16.71,,,Tipple,Tipple,multi
Murray,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.65838,-111.88741,1311,,155,,,23-04-13,2013,spring,april,,-121.72,-16.58,,,Tipple,Tipple,multi
Taylorsville,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.65876,-111.98607,1376,,133,,,23-04-13,2013,spring,april,,-123.03,-16.06,,,Tipple,Tipple,multi
Taylorsville,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.65876,-111.98607,1376,,134,,,23-04-13,2013,spring,april,,-123.15,-16.06,,,Tipple,Tipple,multi
Murray,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.66009,-111.88734,1314,,130,,,23-04-13,2013,spring,april,,-123.13,-16.51,,,Tipple,Tipple,multi
West Valley City,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.66685,-111.94048,1312,,142,,,23-04-13,2013,spring,april,,-124.76,-16.79,,,Tipple,Tipple,multi
Taylorsville,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.66787,-111.93943,1313,,132,,,23-04-13,2013,spring,april,,-124.93,-17.01,,,Tipple,Tipple,multi
Magna,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.69568,-112.09278,1348,,137,,,23-04-13,2013,spring,april,,-116.78,-15.24,,,Tipple,Tipple,multi
West Valley City,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.69608,-111.98611,1304,,135,,,23-04-13,2013,spring,april,,-122.85,-16.25,,,Tipple,Tipple,multi
West Valley City,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.69634,-112.04391,1319,,136,,,23-04-13,2013,spring,april,,-121.63,-16.17,,,Tipple,Tipple,multi
Salt Lake City,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.70071,-111.80205,1466,,117,,,23-04-13,2013,spring,april,,-121.13,-15.98,,,Tipple,Tipple,multi
Salt Lake City,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.7249,-111.85432,1347,,148,,,23-04-13,2013,spring,april,,-122.15,-16.33,,,Tipple,Tipple,multi
Salt Lake City,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.73373,-111.9382,1293,,138,,,23-04-13,2013,spring,april,,-122.01,-16.47,,,Tipple,Tipple,multi
Salt Lake City,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.73982,-111.8259,1440,,149,,,23-04-13,2013,spring,april,,-120.88,-16.34,,,Tipple,Tipple,multi
Salt Lake City,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.75232,-111.85438,1377,,116,,,23-04-13,2013,spring,april,,-121.62,-16.44,,,Tipple,Tipple,multi
Salt Lake City,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.75994,-111.93819,1291,,139,,,23-04-13,2013,spring,april,,-122.75,-16.51,,,Tipple,Tipple,multi
Salt Lake City,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.76099,-111.93216,1289,,140,,,23-04-13,2013,spring,april,,-123.08,-16.55,,,Tipple,Tipple,multi
Salt Lake City,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.79053,-111.93658,1287,,141,,,23-04-13,2013,spring,april,,-122.18,-16.58,,,Tipple,Tipple,multi
McDonalds,1.1,SLC_Area,SLC_Area_Ap-13,UT,40.73638,-111.88778,,,SLV-13-028,,-6,24-04-13 3:27,2013,spring,april,,-122.4335355,-16.27825593,0.087315681,0.029467201,SPATIAL,p58,multi
